"","哎xいカ","哎x_カ","哎蔼动カ","~2011","~2012","~2013","~2014","~2015","~2016","~2017","~2018","~2019","る1","る10","る11","る12","る2","る3","る4","る5","る6","る7","る8","る9","キА放","程蔼放","程C放","矮Bら计","程j10だ牧翻烦t","程j10だ牧翻乏V..","程j俐丁翻烦t","程j俐丁翻乏V..","キА酃锢惬","程p酃锢惬","キА代府鹄","`ら酚杉","矮Bq"
"1",0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13.7,20.9,7.9,25,8.3,80,15.2,80,83,54,1022.2,17.1,100
"2",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16.9,28,10.2,14,8.3,90,14.7,80,78,43,1017,87.8,100
"3",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16.2,30.7,10.4,12,8.6,90,17.3,80,74,35,1019.9,55,100
"4",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21.7,34.4,13.7,7,9,80,16.9,70,68,18,1013.8,153.1,0
"5",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24.8,36.1,17.9,18,9.3,80,16.2,90,78,47,1008.9,94.2,200
"6",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29,36.2,23.8,13,8.2,80,18.3,270,74,49,1005.4,145.7,300
"7",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,29.7,37.7,24.5,14,9.1,110,17.5,90,73,44,1004.3,181.7,300
"8",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,29.6,37.5,24.2,17,10.2,80,21.4,80,73,39,1004.9,195.7,200
"9",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27.6,35.6,22.7,9,9.5,100,21.3,120,71,48,1008.2,170,100
"10",0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24.1,32.6,19.5,13,8.6,80,19.3,90,77,51,1014.3,53.3,100
"11",0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22.9,33.5,18,18,10.7,80,18,90,79,51,1015.5,74.5,200
"12",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16.7,30.4,10.8,20,7.2,80,13.9,80,83,55,1021.1,23.5,200
"13",0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15.9,25.7,9.3,16,7.9,90,15.5,80,86,53,1019.3,23,200
"14",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16.4,28.4,9.5,15,8.3,90,15.3,80,86,51,1017.5,43.7,300
"15",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18.8,30.7,10.7,13,9.7,80,16.6,70,78,34,1016.3,109,100
"16",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23.1,34.9,16.7,23,8.8,80,16.9,80,76,48,1011.5,61.2,300
"17",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25.9,35.9,19.3,18,7.2,290,16.4,280,71,31,1007.6,127.7,200
"18",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,27.8,35.8,23.3,16,10.3,110,20.6,80,73,52,1002.9,77,600
"19",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,30.6,38.3,24.7,8,8.9,140,18.5,80,65,42,1004.3,206.8,200
"20",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,29.2,37.8,24.1,19,9.4,90,22.2,30,75,48,1001.7,158.7,500
"21",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27.3,35.5,19.6,11,8.1,80,16.6,30,70,53,1009.6,140.2,100
"22",0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24.1,32,18.9,7,7.4,80,14.9,80,67,45,1014.2,154.7,100
"23",0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21.2,32.1,13.7,15,9,80,16.3,80,74,49,1015.8,80.9,200
"24",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17.8,27.8,8.6,18,9.2,80,16.7,80,77,56,1018.6,74.1,200
"25",0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16.7,27,11.6,13,8.6,80,16.4,90,75,42,1020.3,79.1,100
"26",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18.8,28.8,13,5,8.9,80,16.6,80,75,46,1018.5,69.9,0
"27",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19.9,29.9,10.4,11,8.3,80,16.7,90,69,32,1015.8,117.7,0
"28",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21.1,32.6,13.4,21,8.1,80,15.4,70,74,50,1012.3,53.6,300
"29",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,26,36.1,14.4,16,7,80,14.6,80,72,48,1008.5,77.4,300
"30",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29.2,36.7,22.9,15,8.1,999.9,19,280,69,48,1005.3,107.9,200
"31",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,29.5,37.9,24.2,11,14.7,80,33.8,50,68,46,1007,156.7,200
"32",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,29.6,39.3,24.5,13,8.4,120,16.7,110,68,45,1004.6,159.6,800
"33",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27.9,35.8,21.2,10,9.2,90,20.9,80,67,48,1008.6,194.1,100
"34",0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24.2,32.2,17.8,12,8.6,300,21.2,320,68,50,1013.4,97.1,100
"35",0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21.2,31.6,11.7,11,8.3,80,15.4,70,68,43,1017.7,90.7,0
"36",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16.4,26.4,9.9,20,6.7,80,14.2,60,71,44,1019.2,57.6,200
"37",0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16.8,26.8,10.3,5,6.6,110,14.5,110,62,33,1021.1,144.5,0
"38",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16.5,27.5,7.8,14,6.9,80,13.8,80,71,39,1017.7,81.2,200
"39",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18.9,32.3,11.8,14,7.4,90,14.1,100,72,46,1017.5,66.9,100
"40",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22.5,33.3,16.7,12,8.2,80,14.4,70,77,36,1013.4,99.5,100
"41",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25.2,35.6,15.1,21,8.4,260,17.4,280,81,46,1009.6,45.9,600
"42",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28,36.3,23.1,20,7.5,80,14.2,270,76,51,1004,57.4,400
"43",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,30.5,37.8,24.4,9,11.3,100,26.5,90,68,45,1004.5,178.3,200
"44",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30.2,37.7,24.7,10,6.5,270,13.1,290,68,45,1006.1,171.3,100
"45",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29.7,37.8,23.7,7,9.8,100,20.2,90,71,43,1007.8,201.9,200
"46",0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24.7,33.7,17.5,6,7.3,80,14.7,80,71,51,1013.9,125.3,0
"47",0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22.3,31.6,16.8,8,6.6,80,12.9,70,75,53,1014.3,99.3,0
"48",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16.5,24.9,11,14,7.7,70,15.9,90,70,40,1019.5,60.5,100
"49",0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16.7,24.8,10.3,6,7.7,80,15,70,67,39,1018.7,95.7,0
"50",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17.3,27.6,9.8,11,8.1,70,14.6,60,72,34,1016.8,78.9,100
"51",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18.9,31.7,11.4,13,7.2,80,14.5,70,80,47,1015.5,89.3,200
"52",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22.7,34.5,13.6,10,8.6,70,17.6,80,75,20,1011.2,112.9,100
"53",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,26.1,36.5,18.1,18,7.1,80,14.4,80,78,43,1006.1,82.1,300
"54",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30,37.1,24.5,9,8,90,15.5,120,73,47,1004.3,146.9,200
"55",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,30,37.5,24.2,13,7.8,260,19,350,72,43,1001.2,169.4,300
"56",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28.6,36.2,23.9,23,15.9,80,39.2,90,76,48,1002.3,121.8,700
"57",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27.4,36.6,22.4,14,14.4,10,37.1,20,74,48,1006.8,151.2,300
"58",0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25.2,34.3,20.4,11,7.9,60,15.5,50,78,56,1011.5,111.6,100
"59",0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23.5,33.1,13.5,9,7.8,50,15.7,50,79,53,1014.7,107.2,0
"60",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18.9,30.5,11.3,11,8.1,60,15,50,79,53,1017.9,39.3,100
"61",0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16.2,24.5,4,20,7.7,50,15.5,70,84,58,1017.8,27.1,300
"62",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15.5,30.5,6.1,17,7.5,60,15.8,70,80,29,1019.4,80.1,100
"63",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17.5,29.4,9.4,19,7.3,60,15.2,60,75,33,1015.1,90.3,300
"64",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,24,33.2,17.1,14,7.6,50,17,310,76,44,1009.2,81.9,200
"65",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,27.1,37.3,19,15,7.5,50,14.6,50,71,47,1007.5,104,200
"66",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29.4,38.7,24.1,21,6.9,120,14.5,270,72,37,1004.6,125.6,400
"67",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,30.3,38.5,23.9,13,8.7,50,19.1,50,70,36,1003.5,192.7,200
"68",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30.1,37.8,24.6,14,8.2,100,19.6,90,67,38,1000.5,187.5,100
"69",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27.8,35.9,23.6,22,13.6,50,37.7,10,76,44,1003.4,90.8,400
"70",0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,27,35.4,21.4,16,8.3,100,20.8,80,75,43,1008.4,132.1,100
"71",0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22.6,32.5,17.6,11,8.1,50,18.6,50,74,45,1014.3,86.4,100
"72",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20.1,30.6,12.6,6,8.2,50,15.4,50,71,42,1016.7,84.8,0
"73",0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18.3,27.3,12.2,11,8.4,50,15.9,40,74,49,1017.4,79.2,0
"74",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17,27.9,10.4,8,8.6,50,17.1,50,69,37,1017.9,70,100
"75",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18.2,29.3,12,18,7.5,50,15.3,50,75,42,1014,60.8,200
"76",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22.5,35.5,11.5,13,7.3,50,13.9,50,66,26,1010.1,105.6,100
"77",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25.6,35,19.7,16,8.6,50,14.5,60,73,42,1007.3,83.8,100
"78",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28,35.6,22,16,6.3,250,13.6,240,75,44,1004,83.8,600
"79",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,30.3,38,24.2,12,14.3,50,41.9,60,64,42,1004.4,165.3,200
"80",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,31.1,38.5,25.4,11,7.7,50,16,70,64,42,1003.3,208.3,200
"81",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29.6,38.6,23.2,9,7.7,50,15.9,50,65,35,1006,167.3,200
"82",0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25.6,36.8,18.7,22,8.1,50,17.9,50,73,43,1010.2,101,400
"83",0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22.5,32.4,16.2,19,7,50,14.2,50,77,54,1013.7,55.6,100
"84",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17.8,26.4,12.7,18,8,50,15.9,60,74,46,1017.9,56.4,100
"85",0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,16.9,26.6,8.6,13,7.8,50,15.5,50,79,40,1015.8,78.6,300
"86",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,15.6,29.5,7.6,15,8.3,40,15.7,40,79,33,1017,54.5,200
"87",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,20.6,30.7,11,10,7,70,13.9,40,69,26,1013.2,161.1,0
"88",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,23.5,34.3,13.6,9,7.6,50,15,50,66,34,1011,115.8,100
"89",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,28.2,38.2,20,4,7.5,80,14.4,80,64,36,1007.4,137.3,0
"90",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,28.5,37.8,22.2,13,7.6,80,14.3,80,69,36,1002.5,105.7,100
"91",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,30.3,38.5,24.9,8,8.9,310,20.9,310,65,39,1000.8,186.1,200
"92",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,29.5,37.2,24.3,19,8,90,13.8,60,70,42,999.2,128,200
"93",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,28.2,37.8,20.4,18,8.5,80,19.7,80,70,41,1005.8,148.1,300
"94",0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,23.3,31.2,16.1,19,8.8,90,16.9,90,71,30,1012.6,103.8,100
"95",0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,22.7,30.8,16.8,13,7.6,90,14.6,80,74,40,1014.5,91,100
"96",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,19.5,30.5,12.3,16,7.7,80,14.9,80,75,33,1017.3,91.1,100
"97",0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,18.5,28.6,11.9,10,8.1,80,15.2,70,74,43,1018.5,78,0
"98",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,18.8,31.3,13.7,9,7.8,70,14.2,60,79,28,1016,55.5,100
"99",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,19.8,32.9,12.1,16,8.5,80,15.9,100,75,34,1012.9,76.3,200
"100",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,24.2,35.9,15.2,13,8.2,80,14.3,70,76,34,1009.1,105,100
"101",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,25,35.1,17.9,17,7.3,80,12.7,60,77,33,1006.9,80.3,300
"102",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,28.5,36.9,22.3,16,7,280,16.1,270,77,36,1002.7,91.4,400
"103",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,30.3,37.4,24.8,16,8,90,16.5,290,73,37,1001.6,145.5,400
"104",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,30.5,37.8,25.1,15,8.7,90,21.7,270,72,37,999.5,186.8,200
"105",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,27.3,36.1,19.8,15,9,310,22.4,320,79,37,1006,139.7,400
"106",0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,25.3,34.8,19.9,8,7.9,90,17.1,320,74,37,1011.9,159,0
"107",0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,22,31.1,16,11,8.2,90,16.6,80,75,36,1014.3,102.9,0
